,Final Pick,Total Projected Indy Wins,First Quarter Wins,Second Quarter Wins,Third Quarter Wins,Games Played By Carson (17 Max),Colts Made Playoffs,Playoff_Result,Game_Where_Indy_Fell_Out_of_Playoffs,Carson Benched On Purpose,Week Carson Benched On Purpose,Out_of_Division,Game_Where_Indy_Fell_Out_of_Division,Wins_of_Div_Winner,Out_of_Wildcard,Game_Where_Indy_Fell_Out_of_Wildcard,Wins_of_Last_WC,Injured,Week of Injury,Benched,COVID-19 Infection,Games Missed From COVID-19,Week Of COVID-19 Infection,Week 1 Result,Week 2 Result,Week 3 Result,Week 4 Result,Week 5 Result,Week 6 Result,Week 7 Result,Week 8 Result,Week 9 Result,Week 10 Result,Week 11 Result,Week 12 Result,Week 13 Result,Week 14 Result,Week 15 Result,Week 16 Result,Week 17 Result,Draft Pick Points,Carson Final Snap %,Percentage of Total Occurances (%),Colts_Eliminated_From_Division_or_Wild_Card_Race_First
14,48,8.0,1,3,5,11.359654680175503,False,Missed Playoffs,17.0,True,17,True,13.0,14.0,True,17.0,9.0,True,9,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,TEN,IND,IND,BUF,TB,HOU,IND,ARI,IND,IND,420,66.82149811867943,0.01,Lost Division First
15,40,6.0,1,3,5,12.024574624153226,False,Missed Playoffs,15.0,True,17,True,14.0,12.0,True,15.0,9.0,True,11,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,TEN,IND,IND,BUF,TB,HOU,NE,ARI,OAK,IND,500,70.73279190678369,0.01,Lost Division First
16,27,11.0,1,4,6,16.396330765068267,True,Second Round Exit,,False,0,False,,11.0,False,,11.0,True,14,False,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,IND,IND,BUF,TB,IND,IND,IND,IND,IND,680,96.44900450040157,0.01,None
17,29,10.0,1,3,6,13.791991999999999,True,Conference Final Exit,,True,17,True,15.0,14.0,False,,9.0,False,0,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,TEN,NYJ,IND,IND,IND,IND,IND,ARI,IND,IND,640,81.12936470588235,0.01,None
18,14,8.0,1,4,5,12.886806655129067,False,Missed Playoffs,,True,17,True,15.0,12.0,False,,9.0,True,13,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,NYJ,JAX,BUF,IND,IND,IND,ARI,OAK,IND,1100,75.80474503017098,0.01,Lost Division First
19,14,8.0,1,4,6,14.93,False,Missed Playoffs,17.0,True,17,True,16.0,11.0,True,17.0,9.0,False,0,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,IND,IND,BUF,TB,IND,NE,ARI,OAK,IND,1100,87.8235294117647,0.01,Lost Division First
20,20,9.0,1,4,6,16.44350337421093,True,First Round Exit,,False,0,False,,9.0,False,,9.0,True,9,False,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,IND,IND,BUF,TB,IND,IND,IND,OAK,JAX,850,96.72649043653489,0.01,None
21,21,10.0,1,4,7,14.167315435335817,True,First Round Exit,,True,17,True,16.0,13.0,False,,10.0,True,10,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,IND,IND,BUF,IND,IND,IND,ARI,OAK,IND,800,83.33714961962245,0.01,None
22,21,11.0,1,4,7,16.018716967676813,True,First Round Exit,,False,0,False,,11.0,False,,10.0,True,14,False,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,IND,IND,IND,TB,HOU,IND,IND,IND,IND,800,94.22774686868713,0.01,None
23,16,8.0,1,3,5,14.93558157725751,False,Missed Playoffs,17.0,True,17,True,17.0,10.0,True,17.0,10.0,True,15,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,TEN,IND,JAX,BUF,IND,IND,IND,ARI,IND,JAX,1000,87.85636221916182,0.01,Lost Wild Card and Division at Same Time
24,27,10.0,1,3,6,16.8904,True,Second Round Exit,,False,0,False,,11.0,False,,9.0,False,0,False,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,TEN,IND,IND,IND,TB,IND,IND,ARI,IND,IND,680,99.35529411764705,0.01,None
25,19,9.0,1,3,5,13.644920025225826,True,First Round Exit,,True,17,True,15.0,11.0,False,,9.0,True,11,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,TEN,IND,IND,BUF,TB,IND,IND,ARI,IND,IND,875,80.26423544250486,0.01,None
26,27,10.0,1,4,6,16.66789697399856,True,Second Round Exit,,False,0,False,,10.0,False,,10.0,True,8,False,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,IND,IND,BUF,TB,IND,IND,ARI,IND,IND,680,98.04645278822682,0.01,None
27,21,11.0,1,4,7,16.635279992742493,True,First Round Exit,,False,0,False,,11.0,False,,10.0,True,17,False,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,IND,IND,IND,TB,IND,IND,ARI,IND,IND,800,97.8545881926029,0.01,None
28,41,7.0,1,3,5,12.693583999999998,False,Missed Playoffs,16.0,True,17,True,14.0,13.0,True,16.0,9.0,False,0,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,TEN,NYJ,IND,BUF,IND,IND,NE,ARI,OAK,IND,490,74.66814117647057,0.01,Lost Division First
29,27,9.0,1,3,6,12.8904,True,Second Round Exit,,True,17,True,14.0,14.0,False,,9.0,False,0,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,TEN,IND,IND,BUF,IND,IND,NE,ARI,IND,IND,680,75.82588235294118,0.01,None
30,48,8.0,1,3,4,11.114647861959785,False,Missed Playoffs,16.0,True,17,True,14.0,13.0,True,16.0,10.0,True,13,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,TEN,NYJ,IND,BUF,TB,IND,NE,IND,IND,IND,420,65.3802815409399,0.01,Lost Division First
31,23,10.0,1,4,6,13.93,True,First Round Exit,,True,16,True,15.0,13.0,False,,9.0,False,0,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,IND,JAX,BUF,IND,IND,IND,ARI,IND,IND,760,81.94117647058823,0.01,None
32,49,8.0,1,4,6,12.399890322001468,False,Missed Playoffs,17.0,True,17,True,15.0,13.0,True,17.0,10.0,True,14,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,IND,IND,BUF,TB,IND,IND,ARI,OAK,JAX,410,72.94053130589099,0.01,Lost Division First
33,13,7.0,1,4,6,13.22895019822476,False,Missed Playoffs,16.0,True,17,True,15.0,11.0,True,16.0,10.0,True,12,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,IND,IND,BUF,TB,HOU,IND,ARI,OAK,JAX,1150,77.81735410720447,0.01,Lost Division First
34,15,8.0,1,3,5,13.752391999999999,False,Missed Playoffs,16.0,True,17,True,15.0,10.0,True,16.0,9.0,False,0,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,TEN,IND,IND,BUF,TB,HOU,IND,ARI,IND,IND,1050,80.89642352941175,0.01,Lost Division First
35,21,10.0,1,4,7,15.909772465085831,True,First Round Exit,,True,17,True,17.0,12.0,False,,10.0,True,9,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,IND,IND,BUF,IND,IND,NE,ARI,IND,IND,800,93.58689685344606,0.01,None
36,15,8.0,1,4,5,12.880717207808067,False,Missed Playoffs,17.0,True,17,True,15.0,12.0,True,17.0,9.0,True,12,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,IND,JAX,BUF,TB,HOU,IND,IND,OAK,IND,1050,75.76892475181216,0.01,Lost Division First
37,28,11.0,1,3,7,16.164116628466623,True,Second Round Exit,,False,0,False,,12.0,False,,10.0,True,16,False,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,TEN,IND,IND,IND,IND,IND,IND,IND,OAK,IND,660,95.08303899098013,0.01,None
38,18,9.0,1,4,6,16.512792604008315,False,Missed Playoffs,,False,0,False,,10.0,False,,9.0,True,12,False,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,IND,IND,BUF,TB,IND,IND,ARI,OAK,IND,900,97.13407414122538,0.01,Lost Wild Card and Division at Same Time
39,41,6.0,1,3,4,11.62859396297701,False,Missed Playoffs,16.0,True,17,True,14.0,13.0,True,16.0,9.0,True,12,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,TEN,NYJ,IND,BUF,TB,IND,NE,ARI,OAK,IND,490,68.40349389986477,0.01,Lost Division First
40,21,10.0,1,3,6,13.8904,True,First Round Exit,,True,17,True,15.0,13.0,False,,9.0,False,0,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,TEN,IND,IND,BUF,IND,IND,IND,ARI,IND,IND,800,81.70823529411764,0.01,None
41,16,8.0,1,3,5,12.8508,False,Missed Playoffs,17.0,True,17,True,14.0,13.0,True,17.0,10.0,False,0,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,TEN,IND,IND,BUF,TB,IND,NE,IND,IND,JAX,1000,75.59294117647059,0.01,Lost Division First
42,23,11.0,1,3,6,15.822270919729673,True,First Round Exit,,False,0,False,,12.0,False,,9.0,True,15,False,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,TEN,IND,IND,BUF,IND,IND,IND,IND,IND,IND,760,93.07218188076278,0.01,None
43,28,11.0,1,4,7,15.634658804230016,True,Second Round Exit,,False,0,False,,11.0,False,,9.0,True,14,False,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,IND,IND,BUF,IND,IND,IND,IND,OAK,IND,660,91.96858120135303,0.01,None
44,45,7.0,1,4,6,12.665740837782064,False,Missed Playoffs,16.0,True,17,True,15.0,11.0,True,16.0,9.0,True,14,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,IND,IND,BUF,TB,HOU,NE,ARI,OAK,IND,450,74.50435786930626,0.01,Lost Division First
45,30,9.0,1,4,6,12.93,True,Conference Final Exit,,True,17,True,14.0,13.0,False,,9.0,False,0,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,NYJ,IND,IND,TB,HOU,IND,ARI,IND,IND,620,76.05882352941177,0.01,None
46,13,7.0,1,3,5,13.752391999999999,False,Missed Playoffs,17.0,True,17,True,15.0,11.0,True,17.0,9.0,False,0,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,TEN,IND,IND,BUF,TB,HOU,IND,ARI,IND,JAX,1150,80.89642352941175,0.01,Lost Division First
47,22,9.0,1,4,5,15.833324444350357,True,First Round Exit,,False,0,False,,10.0,False,,9.0,True,16,False,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,NYJ,IND,BUF,TB,IND,NE,IND,IND,IND,780,93.13720261382564,0.01,None
48,14,7.0,1,4,6,12.93,False,Missed Playoffs,17.0,True,17,True,14.0,11.0,True,17.0,9.0,False,0,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,IND,IND,BUF,TB,HOU,NE,ARI,IND,JAX,1100,76.05882352941177,0.01,Lost Division First
49,16,9.0,1,4,6,16.30540098816229,False,Missed Playoffs,,False,0,False,,10.0,False,,10.0,True,14,False,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,IND,JAX,BUF,IND,IND,IND,IND,OAK,JAX,1000,95.91412345977818,0.01,Lost Wild Card and Division at Same Time
50,13,7.0,1,3,5,13.200508874622246,False,Missed Playoffs,16.0,True,17,True,15.0,11.0,True,16.0,10.0,True,9,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,TEN,IND,JAX,BUF,IND,IND,NE,ARI,OAK,IND,1150,77.65005220366027,0.01,Lost Division First
51,22,10.0,1,4,7,16.011906399733547,True,First Round Exit,,False,0,False,,10.0,False,,9.0,True,17,False,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,IND,IND,IND,TB,IND,IND,IND,OAK,JAX,780,94.18768470431499,0.01,None
52,16,8.0,1,4,6,13.93,False,Missed Playoffs,17.0,True,17,True,15.0,12.0,True,17.0,9.0,False,0,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,IND,IND,BUF,TB,HOU,IND,ARI,IND,JAX,1000,81.94117647058823,0.01,Lost Division First
53,21,10.0,1,4,7,16.047928469975645,True,First Round Exit,,False,0,False,,11.0,False,,10.0,True,10,False,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,NYJ,IND,IND,IND,HOU,IND,ARI,IND,IND,800,94.39957923515085,0.01,None
54,24,10.0,1,4,7,15.93,True,First Round Exit,,True,17,True,17.0,12.0,False,,10.0,False,0,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,IND,IND,IND,TB,IND,NE,IND,OAK,IND,740,93.70588235294117,0.01,None
55,44,7.0,1,3,5,12.370616506082921,False,Missed Playoffs,16.0,True,17,True,15.0,10.0,True,16.0,8.0,True,11,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,TEN,IND,JAX,IND,TB,IND,NE,ARI,OAK,IND,460,72.76833238872307,0.01,Lost Division First
56,15,7.0,1,3,6,12.8904,False,Missed Playoffs,17.0,True,17,True,14.0,12.0,True,17.0,8.0,False,0,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,TEN,IND,IND,BUF,IND,HOU,NE,ARI,OAK,IND,1050,75.82588235294118,0.01,Lost Division First
57,41,6.0,1,3,5,12.381326877837608,False,Missed Playoffs,16.0,True,17,True,14.0,14.0,True,16.0,10.0,True,8,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,TEN,IND,IND,BUF,TB,IND,NE,ARI,OAK,JAX,490,72.83133457551534,0.01,Lost Division First
58,30,9.0,1,3,5,15.8508,True,Conference Final Exit,,True,17,True,17.0,10.0,False,,9.0,False,0,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,TEN,IND,IND,BUF,TB,IND,IND,ARI,IND,IND,620,93.24,0.01,None
59,27,10.0,1,4,5,16.634884666879007,True,Second Round Exit,,False,0,False,,11.0,False,,10.0,True,15,False,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,NYJ,IND,BUF,TB,IND,IND,IND,IND,IND,680,97.8522627463471,0.01,None
60,57,10.0,1,3,6,11.971830495021258,True,Second Round Exit,,True,17,True,14.0,15.0,False,,10.0,True,13,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,TEN,IND,IND,IND,TB,HOU,IND,IND,IND,IND,330,70.42253232365447,0.01,None
61,16,8.0,1,4,6,13.93,False,Missed Playoffs,17.0,True,17,True,15.0,11.0,True,17.0,9.0,False,0,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,IND,IND,BUF,TB,HOU,IND,ARI,IND,JAX,1000,81.94117647058823,0.01,Lost Division First
62,26,11.0,1,4,7,15.621549700365907,True,Second Round Exit,,True,17,True,17.0,13.0,False,,10.0,True,8,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,IND,IND,BUF,IND,IND,IND,IND,OAK,IND,700,91.89146882568181,0.01,None
63,17,9.0,1,3,5,15.944190730476514,False,Missed Playoffs,,False,0,True,17.0,11.0,False,,9.0,True,9,False,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,TEN,IND,IND,BUF,TB,IND,IND,ARI,IND,IND,950,93.78935723809714,0.01,Lost Division First
64,40,6.0,1,3,4,11.695594790897262,False,Missed Playoffs,15.0,True,17,True,14.0,11.0,True,15.0,10.0,True,12,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,TEN,NYJ,IND,BUF,TB,HOU,IND,ARI,OAK,IND,500,68.79761641704272,0.01,Lost Division First
65,12,8.0,1,3,5,12.8508,False,Missed Playoffs,16.0,True,17,True,14.0,12.0,True,16.0,10.0,False,0,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,TEN,IND,IND,BUF,TB,IND,NE,ARI,IND,IND,1200,75.59294117647059,0.01,Lost Division First
66,18,9.0,1,3,5,13.532115717127086,False,Missed Playoffs,,True,17,True,14.0,15.0,False,,9.0,True,13,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,TEN,IND,IND,BUF,TB,IND,IND,IND,IND,JAX,900,79.60068068898286,0.01,Lost Division First
67,18,9.0,1,4,6,13.552210383140427,False,Missed Playoffs,17.0,True,17,True,15.0,11.0,True,17.0,10.0,True,10,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,IND,IND,BUF,TB,IND,NE,ARI,IND,IND,900,79.7188846067084,0.01,Lost Division First
68,7,6.0,1,3,6,12.8904,False,Missed Playoffs,16.0,True,17,True,14.0,12.0,True,16.0,8.0,False,0,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,TEN,IND,IND,IND,TB,HOU,NE,ARI,OAK,JAX,1500,75.82588235294118,0.01,Lost Division First
69,18,9.0,1,3,6,14.377765152306338,False,Missed Playoffs,,True,17,True,16.0,12.0,False,,10.0,True,15,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,TEN,IND,IND,IND,TB,IND,IND,ARI,OAK,IND,900,84.57508913121376,0.01,Lost Division First
70,47,8.0,1,4,5,12.582449573315655,False,Missed Playoffs,17.0,True,17,True,15.0,12.0,True,17.0,9.0,True,14,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,NYJ,IND,BUF,TB,IND,NE,ARI,IND,IND,430,74.01440925479797,0.01,Lost Division First
71,17,9.0,1,4,6,15.141316943564405,False,Missed Playoffs,,True,17,True,17.0,11.0,False,,9.0,True,11,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,IND,JAX,BUF,IND,IND,IND,ARI,OAK,IND,950,89.0665702562612,0.01,Lost Division First
72,27,11.0,1,3,6,16.8904,True,Second Round Exit,,False,0,False,,11.0,False,,8.0,False,0,False,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,TEN,IND,IND,BUF,IND,IND,IND,IND,IND,IND,680,99.35529411764705,0.01,None
73,31,9.0,1,3,6,16.74109137069286,True,Super Bowl Exit,,False,0,False,,10.0,False,,8.0,True,11,False,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,TEN,IND,IND,IND,TB,IND,IND,ARI,OAK,IND,600,98.47700806289917,0.01,None
74,17,8.0,1,4,6,13.93,False,Missed Playoffs,16.0,True,17,True,15.0,12.0,True,16.0,10.0,False,0,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,NYJ,IND,IND,TB,IND,NE,ARI,OAK,IND,950,81.94117647058823,0.01,Lost Division First
75,24,9.0,1,4,7,14.051062310972384,True,First Round Exit,,True,17,True,16.0,11.0,False,,9.0,True,12,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,IND,IND,BUF,IND,HOU,IND,ARI,OAK,IND,740,82.65330771160225,0.01,None
76,17,9.0,1,4,7,15.270298344329099,False,Missed Playoffs,,False,0,False,,9.0,False,,9.0,True,16,False,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,IND,IND,IND,TB,HOU,IND,ARI,OAK,IND,950,89.82528437840647,0.01,Lost Wild Card and Division at Same Time
77,46,8.0,1,3,6,12.605709315426456,False,Missed Playoffs,17.0,True,17,True,14.0,15.0,True,17.0,9.0,True,11,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,TEN,IND,IND,IND,TB,IND,NE,ARI,OAK,IND,440,74.15123126721444,0.01,Lost Division First
78,42,7.0,1,3,4,12.521441116799997,False,Missed Playoffs,16.0,True,17,True,14.0,13.0,True,16.0,10.0,False,0,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,TEN,NYJ,JAX,BUF,IND,IND,IND,ARI,IND,JAX,480,73.65553598117644,0.01,Lost Division First
79,24,9.0,1,3,6,13.8904,True,First Round Exit,,True,16,True,15.0,14.0,False,,9.0,False,0,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,TEN,IND,IND,BUF,IND,IND,IND,IND,OAK,JAX,740,81.70823529411764,0.01,None
80,24,11.0,1,3,6,15.469177381773596,True,First Round Exit,,True,17,True,17.0,13.0,False,,10.0,True,11,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,TEN,IND,IND,BUF,IND,IND,IND,IND,IND,IND,740,90.99516106925645,0.01,None
81,31,10.0,1,3,6,15.642484541793943,True,Super Bowl Exit,,False,0,False,,10.0,False,,10.0,True,15,False,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,TEN,IND,IND,BUF,IND,IND,IND,IND,IND,JAX,600,92.01461495172907,0.01,None
82,22,10.0,1,3,5,15.8508,True,First Round Exit,,True,17,True,17.0,11.0,False,,9.0,False,0,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,TEN,IND,IND,BUF,TB,IND,IND,IND,IND,IND,780,93.24,0.01,None
83,26,11.0,1,4,7,15.683120087843283,True,Second Round Exit,,False,0,False,,11.0,False,,9.0,True,16,False,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,IND,IND,BUF,IND,IND,IND,ARI,IND,IND,700,92.25364757554873,0.01,None
84,54,9.0,1,3,5,11.953406815198969,True,First Round Exit,,True,17,True,14.0,11.0,False,,9.0,True,10,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,TEN,IND,IND,BUF,TB,IND,NE,IND,IND,IND,360,70.31415773646452,0.01,None
85,15,7.0,1,4,5,13.753960159999998,False,Missed Playoffs,15.0,True,17,True,15.0,10.0,True,15.0,10.0,False,0,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,NYJ,IND,BUF,TB,HOU,NE,ARI,IND,IND,1050,80.90564799999999,0.01,Lost Wild Card and Division at Same Time
86,23,10.0,1,4,7,15.93,True,First Round Exit,,True,17,True,17.0,11.0,False,,10.0,False,0,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,IND,IND,IND,TB,HOU,IND,ARI,IND,IND,760,93.70588235294117,0.01,None
87,60,9.0,1,3,5,12.619556711886153,True,Second Round Exit,,True,17,True,14.0,12.0,False,,9.0,True,12,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,TEN,IND,IND,BUF,TB,HOU,IND,IND,IND,IND,300,74.23268654050679,0.01,None
88,15,8.0,1,4,6,14.887801535622605,False,Missed Playoffs,17.0,True,17,True,16.0,10.0,True,17.0,9.0,True,13,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,IND,IND,BUF,TB,HOU,IND,ARI,OAK,IND,1050,87.57530315072121,0.01,Lost Division First
